ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
AQ,2021-01-25,3,552,555,2021-01-27
AQ,2021-01-26,9,603,612,2021-01-27
AQ,2021-01-27,447,0,447,2021-01-27
CH,2021-01-25,1,1094,1095,2021-01-27
CH,2021-01-26,1,945,946,2021-01-27
CH,2021-01-27,825,200,1025,2021-01-27
TE,2021-01-25,1,904,905,2021-01-27
TE,2021-01-27,359,166,525,2021-01-27
TE,2021-01-28,9,0,9,2021-01-27
AQ,2021-01-02,0,417,417,2021-01-27
AQ,2021-01-03,0,46,46,2021-01-27
AQ,2021-01-04,0,503,503,2021-01-27
AQ,2021-01-05,0,889,889,2021-01-27
AQ,2021-01-06,0,16,16,2021-01-27
AQ,2021-01-07,0,646,646,2021-01-27
AQ,2021-01-08,0,741,741,2021-01-27
AQ,2021-01-09,0,343,343,2021-01-27
AQ,2021-01-10,0,195,195,2021-01-27
AQ,2021-01-11,0,939,939,2021-01-27
AQ,2021-01-12,0,608,608,2021-01-27
AQ,2021-01-13,0,754,754,2021-01-27
AQ,2021-01-14,0,701,701,2021-01-27
AQ,2021-01-15,0,373,373,2021-01-27
AQ,2021-01-16,0,280,280,2021-01-27
AQ,2021-01-17,0,32,32,2021-01-27
AQ,2021-01-18,0,547,547,2021-01-27
AQ,2021-01-19,0,598,598,2021-01-27
AQ,2021-01-20,0,474,474,2021-01-27
AQ,2021-01-21,0,633,633,2021-01-27
AQ,2021-01-22,0,592,592,2021-01-27
AQ,2021-01-23,0,300,300,2021-01-27
AQ,2021-01-24,0,46,46,2021-01-27
CH,2021-01-02,0,359,359,2021-01-27
CH,2021-01-03,0,320,320,2021-01-27
CH,2021-01-04,0,914,914,2021-01-27
CH,2021-01-05,0,994,994,2021-01-27
CH,2021-01-06,0,6,6,2021-01-27
CH,2021-01-07,0,622,622,2021-01-27
CH,2021-01-08,0,1277,1277,2021-01-27
CH,2021-01-09,0,304,304,2021-01-27
CH,2021-01-10,0,727,727,2021-01-27
CH,2021-01-11,0,930,930,2021-01-27
CH,2021-01-12,0,571,571,2021-01-27
CH,2021-01-13,0,761,761,2021-01-27
CH,2021-01-14,0,546,546,2021-01-27
CH,2021-01-15,0,1176,1176,2021-01-27
CH,2021-01-16,0,261,261,2021-01-27
CH,2021-01-17,0,673,673,2021-01-27
CH,2021-01-18,0,1008,1008,2021-01-27
CH,2021-01-19,0,777,777,2021-01-27
CH,2021-01-20,0,907,907,2021-01-27
CH,2021-01-21,0,532,532,2021-01-27
CH,2021-01-22,0,1085,1085,2021-01-27
CH,2021-01-23,0,301,301,2021-01-27
CH,2021-01-24,0,836,836,2021-01-27
TE,2021-01-02,0,733,733,2021-01-27
TE,2021-01-03,0,282,282,2021-01-27
TE,2021-01-04,0,925,925,2021-01-27
TE,2021-01-05,0,726,726,2021-01-27
TE,2021-01-06,0,38,38,2021-01-27
TE,2021-01-07,0,1263,1263,2021-01-27
TE,2021-01-08,0,670,670,2021-01-27
TE,2021-01-09,0,699,699,2021-01-27
TE,2021-01-10,0,56,56,2021-01-27
TE,2021-01-11,0,920,920,2021-01-27
TE,2021-01-12,0,1012,1012,2021-01-27
TE,2021-01-13,0,994,994,2021-01-27
TE,2021-01-14,0,627,627,2021-01-27
TE,2021-01-15,0,852,852,2021-01-27
TE,2021-01-16,0,430,430,2021-01-27
TE,2021-01-17,0,55,55,2021-01-27
TE,2021-01-18,0,893,893,2021-01-27
TE,2021-01-19,0,885,885,2021-01-27
TE,2021-01-20,0,459,459,2021-01-27
TE,2021-01-21,0,700,700,2021-01-27
TE,2021-01-22,0,1129,1129,2021-01-27
TE,2021-01-23,0,646,646,2021-01-27
TE,2021-01-24,0,115,115,2021-01-27
TE,2021-01-26,0,758,758,2021-01-27
