ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
AQ,2021-02-09,2,520,522,2021-02-14
AQ,2021-02-10,1,386,387,2021-02-14
AQ,2021-02-12,2,357,359,2021-02-14
AQ,2021-02-13,10,266,276,2021-02-14
AQ,2021-02-14,18,0,18,2021-02-14
CH,2020-12-29,9,1249,1258,2021-02-14
CH,2021-02-09,3,1523,1526,2021-02-14
CH,2021-02-11,3,659,662,2021-02-14
CH,2021-02-12,26,1213,1239,2021-02-14
CH,2021-02-13,9,434,443,2021-02-14
CH,2021-02-14,332,180,512,2021-02-14
TE,2021-02-08,1,912,913,2021-02-14
TE,2021-02-11,1,1174,1175,2021-02-14
TE,2021-02-12,1,1126,1127,2021-02-14
TE,2021-02-13,13,503,516,2021-02-14
TE,2021-02-14,67,358,425,2021-02-14
AQ,2020-03-17,0,13,13,2021-02-14
AQ,2020-03-18,0,8,8,2021-02-14
AQ,2020-03-19,0,19,19,2021-02-14
AQ,2020-03-20,0,15,15,2021-02-14
AQ,2020-03-21,0,21,21,2021-02-14
AQ,2020-03-22,0,34,34,2021-02-14
AQ,2020-03-23,0,45,45,2021-02-14
AQ,2020-03-24,0,34,34,2021-02-14
AQ,2020-03-25,0,51,51,2021-02-14
AQ,2020-03-26,0,60,60,2021-02-14
AQ,2020-03-27,0,54,54,2021-02-14
AQ,2020-03-28,0,36,36,2021-02-14
AQ,2020-03-29,0,28,28,2021-02-14
AQ,2020-03-30,0,84,84,2021-02-14
AQ,2020-03-31,0,104,104,2021-02-14
AQ,2020-04-01,0,171,171,2021-02-14
AQ,2020-04-02,0,109,109,2021-02-14
AQ,2020-04-03,0,84,84,2021-02-14
AQ,2020-04-04,0,130,130,2021-02-14
AQ,2020-04-05,0,82,82,2021-02-14
AQ,2020-04-06,0,161,161,2021-02-14
AQ,2020-04-07,0,77,77,2021-02-14
AQ,2020-04-08,0,144,144,2021-02-14
AQ,2020-04-09,0,130,130,2021-02-14
AQ,2020-04-10,0,142,142,2021-02-14
AQ,2020-04-11,0,163,163,2021-02-14
AQ,2020-04-13,0,19,19,2021-02-14
AQ,2020-04-14,0,187,187,2021-02-14
AQ,2020-04-15,0,94,94,2021-02-14
AQ,2020-04-16,0,154,154,2021-02-14
AQ,2020-04-17,0,170,170,2021-02-14
AQ,2020-04-18,0,102,102,2021-02-14
AQ,2020-04-19,0,45,45,2021-02-14
AQ,2020-04-20,0,170,170,2021-02-14
AQ,2020-04-21,0,83,83,2021-02-14
AQ,2020-04-22,0,171,171,2021-02-14
AQ,2020-04-23,0,85,85,2021-02-14
AQ,2020-04-24,0,182,182,2021-02-14
AQ,2020-04-25,0,25,25,2021-02-14
AQ,2020-04-26,0,22,22,2021-02-14
AQ,2020-04-27,0,85,85,2021-02-14
AQ,2020-04-28,0,131,131,2021-02-14
AQ,2020-04-29,0,89,89,2021-02-14
AQ,2020-04-30,0,67,67,2021-02-14
AQ,2020-05-01,0,69,69,2021-02-14
AQ,2020-05-02,0,75,75,2021-02-14
AQ,2020-05-03,0,16,16,2021-02-14
AQ,2020-05-04,0,170,170,2021-02-14
AQ,2020-05-05,0,67,67,2021-02-14
AQ,2020-05-06,0,102,102,2021-02-14
AQ,2020-05-07,0,122,122,2021-02-14
AQ,2020-05-08,0,135,135,2021-02-14
AQ,2020-05-09,0,119,119,2021-02-14
AQ,2020-05-10,0,153,153,2021-02-14
AQ,2020-05-11,0,128,128,2021-02-14
AQ,2020-05-12,0,190,190,2021-02-14
AQ,2020-05-13,0,250,250,2021-02-14
AQ,2020-05-14,0,279,279,2021-02-14
AQ,2020-05-15,0,149,149,2021-02-14
AQ,2020-05-16,0,128,128,2021-02-14
AQ,2020-05-17,0,231,231,2021-02-14
AQ,2020-05-18,0,109,109,2021-02-14
AQ,2020-05-19,0,301,301,2021-02-14
AQ,2020-05-20,0,63,63,2021-02-14
AQ,2020-05-21,0,289,289,2021-02-14
AQ,2020-05-22,0,255,255,2021-02-14
AQ,2020-05-23,0,320,320,2021-02-14
AQ,2020-05-24,0,132,132,2021-02-14
AQ,2020-05-25,0,165,165,2021-02-14
AQ,2020-05-26,0,251,251,2021-02-14
AQ,2020-05-27,0,348,348,2021-02-14
AQ,2020-05-28,0,275,275,2021-02-14
AQ,2020-05-29,0,228,228,2021-02-14
AQ,2020-05-30,0,205,205,2021-02-14
AQ,2020-05-31,0,121,121,2021-02-14
AQ,2020-06-01,0,188,188,2021-02-14
AQ,2020-06-02,0,9,9,2021-02-14
AQ,2020-06-03,0,169,169,2021-02-14
AQ,2020-06-04,0,105,105,2021-02-14
AQ,2020-06-05,0,325,325,2021-02-14
AQ,2020-06-06,0,79,79,2021-02-14
AQ,2020-06-07,0,4,4,2021-02-14
AQ,2020-06-08,0,96,96,2021-02-14
AQ,2020-06-09,0,284,284,2021-02-14
AQ,2020-06-10,0,83,83,2021-02-14
AQ,2020-06-11,0,211,211,2021-02-14
AQ,2020-06-12,0,168,168,2021-02-14
AQ,2020-06-13,0,231,231,2021-02-14
AQ,2020-06-14,0,7,7,2021-02-14
AQ,2020-06-15,0,195,195,2021-02-14
AQ,2020-06-16,0,268,268,2021-02-14
AQ,2020-06-17,0,236,236,2021-02-14
AQ,2020-06-18,0,160,160,2021-02-14
AQ,2020-06-19,0,83,83,2021-02-14
AQ,2020-06-20,0,228,228,2021-02-14
AQ,2020-06-21,0,42,42,2021-02-14
AQ,2020-06-22,0,238,238,2021-02-14
AQ,2020-06-23,0,120,120,2021-02-14
AQ,2020-06-24,0,165,165,2021-02-14
AQ,2020-06-25,0,96,96,2021-02-14
AQ,2020-06-26,0,183,183,2021-02-14
AQ,2020-06-27,0,200,200,2021-02-14
AQ,2020-06-29,0,157,157,2021-02-14
AQ,2020-06-30,0,102,102,2021-02-14
AQ,2020-07-01,0,276,276,2021-02-14
AQ,2020-07-02,0,134,134,2021-02-14
AQ,2020-07-03,0,229,229,2021-02-14
AQ,2020-07-04,0,79,79,2021-02-14
AQ,2020-07-06,0,181,181,2021-02-14
AQ,2020-07-07,0,134,134,2021-02-14
AQ,2020-07-08,0,155,155,2021-02-14
AQ,2020-07-09,0,87,87,2021-02-14
AQ,2020-07-10,0,220,220,2021-02-14
AQ,2020-07-11,0,149,149,2021-02-14
AQ,2020-07-13,0,149,149,2021-02-14
AQ,2020-07-14,0,165,165,2021-02-14
AQ,2020-07-15,0,137,137,2021-02-14
AQ,2020-07-16,0,112,112,2021-02-14
AQ,2020-07-17,0,260,260,2021-02-14
AQ,2020-07-18,0,144,144,2021-02-14
AQ,2020-07-20,0,154,154,2021-02-14
AQ,2020-07-21,0,187,187,2021-02-14
AQ,2020-07-22,0,172,172,2021-02-14
AQ,2020-07-23,0,135,135,2021-02-14
AQ,2020-07-24,0,189,189,2021-02-14
AQ,2020-07-25,0,171,171,2021-02-14
AQ,2020-07-27,0,153,153,2021-02-14
AQ,2020-07-28,0,159,159,2021-02-14
AQ,2020-07-29,0,189,189,2021-02-14
AQ,2020-07-30,0,115,115,2021-02-14
AQ,2020-07-31,0,262,262,2021-02-14
AQ,2020-08-01,0,62,62,2021-02-14
AQ,2020-08-03,0,138,138,2021-02-14
AQ,2020-08-04,0,181,181,2021-02-14
AQ,2020-08-05,0,72,72,2021-02-14
AQ,2020-08-06,0,96,96,2021-02-14
AQ,2020-08-07,0,148,148,2021-02-14
AQ,2020-08-08,0,88,88,2021-02-14
AQ,2020-08-10,0,113,113,2021-02-14
AQ,2020-08-11,0,152,152,2021-02-14
AQ,2020-08-12,0,177,177,2021-02-14
AQ,2020-08-13,0,92,92,2021-02-14
AQ,2020-08-14,0,179,179,2021-02-14
AQ,2020-08-17,0,132,132,2021-02-14
AQ,2020-08-18,0,123,123,2021-02-14
AQ,2020-08-19,0,169,169,2021-02-14
AQ,2020-08-20,0,260,260,2021-02-14
AQ,2020-08-21,0,147,147,2021-02-14
AQ,2020-08-22,0,209,209,2021-02-14
AQ,2020-08-24,0,127,127,2021-02-14
AQ,2020-08-25,0,378,378,2021-02-14
AQ,2020-08-26,0,127,127,2021-02-14
AQ,2020-08-27,0,312,312,2021-02-14
AQ,2020-08-28,0,296,296,2021-02-14
AQ,2020-08-29,0,216,216,2021-02-14
AQ,2020-08-31,0,216,216,2021-02-14
AQ,2020-09-01,0,301,301,2021-02-14
AQ,2020-09-02,0,197,197,2021-02-14
AQ,2020-09-03,0,236,236,2021-02-14
AQ,2020-09-04,0,459,459,2021-02-14
AQ,2020-09-05,0,275,275,2021-02-14
AQ,2020-09-07,0,131,131,2021-02-14
AQ,2020-09-08,0,458,458,2021-02-14
AQ,2020-09-09,0,240,240,2021-02-14
AQ,2020-09-10,0,227,227,2021-02-14
AQ,2020-09-11,0,390,390,2021-02-14
AQ,2020-09-12,0,198,198,2021-02-14
AQ,2020-09-14,0,366,366,2021-02-14
AQ,2020-09-15,0,159,159,2021-02-14
AQ,2020-09-16,0,291,291,2021-02-14
AQ,2020-09-17,0,413,413,2021-02-14
AQ,2020-09-18,0,243,243,2021-02-14
AQ,2020-09-19,0,261,261,2021-02-14
AQ,2020-09-21,0,70,70,2021-02-14
AQ,2020-09-22,0,394,394,2021-02-14
AQ,2020-09-23,0,195,195,2021-02-14
AQ,2020-09-24,0,268,268,2021-02-14
AQ,2020-09-25,0,200,200,2021-02-14
AQ,2020-09-26,0,263,263,2021-02-14
