AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-03-07,67001,ALBA ADRIATICA,TE,439,3782
2021-03-07,67002,ANCARANO,TE,121,462
2021-03-07,67003,ARSITA,TE,57,370
2021-03-07,67004,ATRI,TE,705,7876
2021-03-07,67005,BASCIANO,TE,207,1327
2021-03-07,67006,BELLANTE,TE,403,3013
2021-03-07,67007,BISENTI,TE,145,1059
2021-03-07,67008,CAMPLI,TE,461,3629
2021-03-07,67009,CANZANO,TE,126,855
2021-03-07,67010,CASTEL CASTAGNA,TE,53,180
2021-03-07,67011,CASTELLALTO,TE,594,3886
2021-03-07,67012,CASTELLI,TE,84,479
2021-03-07,67013,CASTIGLIONE MESSER RAIMONDO,TE,127,1253
2021-03-07,67014,CASTILENTI,TE,151,912
2021-03-07,67015,CELLINO ATTANASIO,TE,202,1023
2021-03-07,67016,CERMIGNANO,TE,209,937
2021-03-07,67017,CIVITELLA DEL TRONTO,TE,453,2347
2021-03-07,67018,COLLEDARA,TE,124,938
2021-03-07,67019,COLONNELLA,TE,217,830
2021-03-07,67020,CONTROGUERRA,TE,94,681
2021-03-07,67021,CORROPOLI,TE,183,1664
2021-03-07,67022,CORTINO,TE,41,274
2021-03-07,67023,CROGNALETO,TE,208,944
2021-03-07,67024,FANO ADRIANO,TE,12,122
2021-03-07,67025,GIULIANOVA,TE,1684,12392
2021-03-07,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,465,2704
2021-03-07,67047,MARTINSICURO,TE,836,4191
2021-03-07,67027,MONTEFINO,TE,75,511
2021-03-07,67028,MONTORIO AL VOMANO,TE,985,5422
2021-03-07,67029,MORRO D'ORO,TE,284,1428
2021-03-07,67030,MOSCIANO SANT'ANGELO,TE,535,3862
2021-03-07,67031,NERETO,TE,249,2521
2021-03-07,67032,NOTARESCO,TE,429,2677
2021-03-07,67033,PENNA SANT'ANDREA,TE,96,777
2021-03-07,67034,PIETRACAMELA,TE,3,75
2021-03-07,67035,PINETO,TE,918,6746
2021-03-07,67036,ROCCA SANTA MARIA,TE,58,397
2021-03-07,67037,ROSETO DEGLI ABRUZZI,TE,1302,9353
2021-03-07,67038,SANT'EGIDIO ALLA VIBRATA,TE,396,2672
2021-03-07,67039,SANT'OMERO,TE,250,2750
2021-03-07,67040,SILVI,TE,779,5688
2021-03-07,67041,TERAMO,TE,3619,42108
2021-03-07,67042,TORANO NUOVO,TE,85,620
2021-03-07,67043,TORRICELLA SICURA,TE,211,1748
2021-03-07,67044,TORTORETO,TE,539,4111
2021-03-07,67045,TOSSICIA,TE,104,700
2021-03-07,67046,VALLE CASTELLANA,TE,36,172
