AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2020-05-31,2020-03-14,CH,2,1,0
2020-05-31,2020-03-14,PE,14,20,3
2020-05-31,2020-03-14,TE,9,11,1
2020-05-31,2020-03-16,AQ,2,0,0
2020-05-31,2020-03-16,CH,1,2,0
2020-05-31,2020-03-16,PE,1,9,0
2020-05-31,2020-03-16,TE,10,70,0
2020-05-31,2020-03-17,AQ,5,10,1
2020-05-31,2020-03-17,CH,7,9,1
2020-05-31,2020-03-17,PE,34,56,4
2020-05-31,2020-03-17,TE,20,58,0
2020-05-31,2020-03-18,AQ,3,5,0
2020-05-31,2020-03-18,CH,7,0,0
2020-05-31,2020-03-18,PE,13,16,4
2020-05-31,2020-03-18,TE,18,63,2
2020-05-31,2020-03-19,AQ,7,15,1
2020-05-31,2020-03-19,TE,18,48,1
2020-05-31,2020-03-20,AQ,5,20,2
2020-05-31,2020-03-20,TE,28,124,9
2020-05-31,2020-03-21,AQ,4,31,0
2020-05-31,2020-03-21,PE,1,1,0
2020-05-31,2020-03-21,TE,18,76,2
2020-05-31,2020-03-22,AQ,2,6,0
2020-05-31,2020-03-22,PE,1,0,0
2020-05-31,2020-03-22,TE,15,31,1
2020-05-31,2020-03-23,AQ,13,41,1
2020-05-31,2020-03-23,CH,3,26,7
2020-05-31,2020-03-23,PE,1,14,1
2020-05-31,2020-03-23,TE,60,115,16
2020-05-31,2020-03-24,AQ,10,20,3
2020-05-31,2020-03-24,CH,1,78,0
2020-05-31,2020-03-24,PE,8,175,5
2020-05-31,2020-03-24,TE,68,171,8
2020-05-31,2020-03-25,AQ,2,52,2
2020-05-31,2020-03-25,CH,2,47,0
2020-05-31,2020-03-25,TE,18,139,1
2020-05-31,2020-03-26,AQ,6,46,5
2020-05-31,2020-03-26,CH,2,19,0
2020-05-31,2020-03-26,PE,1,11,1
2020-05-31,2020-03-26,TE,32,263,10
2020-05-31,2020-03-27,AQ,17,48,1
2020-05-31,2020-03-27,PE,2,9,0
2020-05-31,2020-03-27,TE,14,395,8
2020-05-31,2020-03-28,AQ,12,28,6
2020-05-31,2020-03-28,PE,3,7,2
2020-05-31,2020-03-28,TE,10,175,4
2020-05-31,2020-03-29,AQ,3,10,1
2020-05-31,2020-03-29,TE,14,67,5
2020-05-31,2020-03-30,AQ,18,77,6
2020-05-31,2020-03-30,PE,1,21,0
2020-05-31,2020-03-30,TE,21,484,6
2020-05-31,2020-03-31,AQ,34,132,16
2020-05-31,2020-03-31,CH,3,9,0
2020-05-31,2020-03-31,PE,3,6,3
2020-05-31,2020-03-31,TE,31,179,14
2020-05-31,2020-04-01,AQ,2,91,3
2020-05-31,2020-04-01,PE,1,42,3
2020-05-31,2020-04-01,TE,29,440,24
2020-05-31,2020-04-02,AQ,11,99,8
2020-05-31,2020-04-02,TE,27,406,24
2020-05-31,2020-04-03,AQ,8,91,4
2020-05-31,2020-04-03,TE,21,347,5
2020-05-31,2020-04-04,AQ,6,103,3
2020-05-31,2020-04-04,TE,22,95,6
2020-05-31,2020-04-05,TE,6,34,0
2020-05-31,2020-04-06,AQ,9,164,3
2020-05-31,2020-04-06,PE,10,97,1
2020-05-31,2020-04-06,TE,4,74,4
2020-05-31,2020-04-07,AQ,14,130,4
2020-05-31,2020-04-07,CH,6,92,1
2020-05-31,2020-04-07,PE,7,77,5
2020-05-31,2020-04-07,TE,33,266,8
2020-05-31,2020-04-08,AQ,11,134,2
2020-05-31,2020-04-08,CH,4,75,1
2020-05-31,2020-04-08,TE,18,339,5
2020-05-31,2020-04-09,AQ,6,92,1
2020-05-31,2020-04-09,PE,3,25,0
