AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2021-01-27,2020-01-31,AQ,1,0,0
2021-01-27,2020-12-31,AQ,18,45,3
2021-01-27,2020-12-31,CH,47,68,4
2021-01-27,2020-12-31,TE,3,67,0
2021-01-27,2021-01-01,AQ,36,12,14
2021-01-27,2021-01-01,PE,2,0,0
2021-01-27,2021-01-01,TE,7,15,0
2021-01-27,2021-01-02,AQ,113,215,20
2021-01-27,2021-01-02,CH,138,358,41
2021-01-27,2021-01-02,PE,3,32,1
2021-01-27,2021-01-02,TE,236,523,41
2021-01-27,2021-01-03,AQ,26,19,4
2021-01-27,2021-01-03,CH,4,19,4
2021-01-27,2021-01-03,TE,17,94,3
2021-01-27,2021-01-04,AQ,135,555,49
2021-01-27,2021-01-04,CH,246,712,67
2021-01-27,2021-01-04,PE,1,50,1
2021-01-27,2021-01-04,TE,126,707,38
2021-01-27,2021-01-05,AQ,65,448,20
2021-01-27,2021-01-05,CH,165,625,37
2021-01-27,2021-01-05,PE,2,60,2
2021-01-27,2021-01-05,TE,112,557,36
2021-01-27,2021-01-06,TE,9,43,2
2021-01-27,2021-01-07,AQ,89,569,25
2021-01-27,2021-01-07,CH,184,617,37
2021-01-27,2021-01-07,PE,2,47,4
2021-01-27,2021-01-07,TE,134,1018,42
2021-01-27,2021-01-08,AQ,80,570,33
2021-01-27,2021-01-08,CH,229,688,86
2021-01-27,2021-01-08,PE,1,63,0
2021-01-27,2021-01-08,TE,76,544,24
2021-01-27,2021-01-09,AQ,72,369,23
2021-01-27,2021-01-09,CH,135,731,49
2021-01-27,2021-01-09,PE,3,49,0
2021-01-27,2021-01-09,TE,126,440,37
2021-01-27,2021-01-10,AQ,10,12,5
2021-01-27,2021-01-10,TE,8,49,1
2021-01-27,2021-01-11,AQ,134,764,55
2021-01-27,2021-01-11,CH,192,743,53
2021-01-27,2021-01-11,PE,3,48,2
2021-01-27,2021-01-11,TE,105,901,23
2021-01-27,2021-01-12,AQ,77,593,25
2021-01-27,2021-01-12,CH,81,599,28
2021-01-27,2021-01-12,TE,112,911,47
2021-01-27,2021-01-13,AQ,65,498,18
2021-01-27,2021-01-13,CH,57,500,34
2021-01-27,2021-01-13,PE,1,46,0
2021-01-27,2021-01-13,TE,82,807,33
2021-01-27,2021-01-14,AQ,77,551,29
2021-01-27,2021-01-14,CH,159,638,61
2021-01-27,2021-01-14,PE,6,35,2
2021-01-27,2021-01-14,TE,103,526,44
2021-01-27,2021-01-15,AQ,48,279,16
2021-01-27,2021-01-15,CH,160,596,59
2021-01-27,2021-01-15,PE,1,57,2
2021-01-27,2021-01-15,TE,67,585,25
2021-01-27,2021-01-16,AQ,52,235,27
2021-01-27,2021-01-16,CH,88,741,29
2021-01-27,2021-01-16,PE,2,21,0
2021-01-27,2021-01-16,TE,84,353,20
2021-01-27,2021-01-17,AQ,7,15,0
2021-01-27,2021-01-17,CH,5,30,6
2021-01-27,2021-01-17,PE,1,2,0
2021-01-27,2021-01-17,TE,1,8,0
2021-01-27,2021-01-18,AQ,80,463,38
2021-01-27,2021-01-18,CH,186,767,48
2021-01-27,2021-01-18,PE,9,27,0
2021-01-27,2021-01-18,TE,111,684,37
2021-01-27,2021-01-19,AQ,51,451,18
2021-01-27,2021-01-19,CH,150,628,81
2021-01-27,2021-01-19,PE,4,42,2
2021-01-27,2021-01-19,TE,119,673,46
2021-01-27,2021-01-20,AQ,70,379,21
2021-01-27,2021-01-20,CH,154,556,65
2021-01-27,2021-01-20,PE,2,34,1
2021-01-27,2021-01-20,TE,85,365,28
2021-01-27,2021-01-21,AQ,45,610,17
2021-01-27,2021-01-21,CH,147,600,65
2021-01-27,2021-01-21,PE,3,34,0
2021-01-27,2021-01-21,TE,75,534,38
2021-01-27,2021-01-22,AQ,54,413,14
2021-01-27,2021-01-22,CH,141,660,50
2021-01-27,2021-01-22,PE,1,33,0
2021-01-27,2021-01-22,TE,101,936,29
2021-01-27,2021-01-23,AQ,45,268,17
2021-01-27,2021-01-23,CH,91,854,34
2021-01-27,2021-01-23,PE,11,51,5
2021-01-27,2021-01-23,TE,84,597,20
2021-01-27,2021-01-24,AQ,6,14,3
2021-01-27,2021-01-24,CH,6,62,0
2021-01-27,2021-01-25,AQ,102,460,35
2021-01-27,2021-01-25,CH,208,945,69
2021-01-27,2021-01-25,PE,10,85,2
2021-01-27,2021-01-25,TE,107,723,24
2021-01-27,2021-01-26,AQ,42,462,11
2021-01-27,2021-01-26,CH,133,633,55
2021-01-27,2021-01-26,PE,2,41,1
2021-01-27,2021-01-26,TE,106,586,27
2021-01-27,2020-12-30,CH,0,2,0
2021-01-27,2020-12-30,PE,0,3,0
2021-01-27,2020-12-31,PE,0,4,0
2021-01-27,2021-01-03,PE,0,3,0
2021-01-27,2021-01-06,AQ,0,6,0
2021-01-27,2021-01-06,CH,0,2,0
2021-01-27,2021-01-06,PE,0,3,0
2021-01-27,2021-01-10,CH,0,1,0
2021-01-27,2021-01-10,PE,0,2,0
2021-01-27,2021-01-12,PE,0,67,1
2021-01-27,2021-01-24,PE,0,33,0
2021-01-27,2021-01-24,TE,0,35,2
